ocean,sea,Ld_DIC,Ld_DOC,Ld_POC,Ld_TSS
Arctic Ocean,Arctic Archipelago,0.744124569287,0.238927949555,0.560520967903,54.8350806986
Arctic Ocean,Arctic subocean,0.00202628496987,0.0155333642458,0.173472946069,15.7142192561
Arctic Ocean,Baffin Bay,0.0569871528866,0.0994355147295,0.175183821231,27.0285492441
Arctic Ocean,Barents Sea,3.81661724567,1.84758343578,0.743801945956,16.8159657547
Arctic Ocean,Beaufort Sea,3.27475562909,1.75572366875,1.01373437032,50.6502171384
Arctic Ocean,Chukchi Sea,0.406387881399,0.125006878915,0.0790631839346,5.48546960307
Arctic Ocean,East Siberian Sea,1.01769447861,0.992000723638,0.498256010683,15.7629105029
Arctic Ocean,Foxe Basin,0.449588950943,0.131915484126,0.0802629983487,3.54673860743
Arctic Ocean,Greenland Sea,0.196137717717,0.113183125802,0.104559315348,16.8463739988
Arctic Ocean,Kara Sea,8.29545191197,5.93681577278,2.60649067077,76.2622822593
Arctic Ocean,Laptev Sea,6.92034389549,2.6258554134,2.00656010755,73.2135280589
Arctic Ocean,Norwegian Sea,1.04996441449,0.552519312523,0.609970256443,44.7380199587
Arctic Ocean,South Greenland,0.870536415659,0.689167778336,0.497416612059,40.0905788834
Atlantic Ocean,Atlantic Ocean,84.7897904949,70.281589651,35.6736893147,1466.29278362
Atlantic Ocean,Baltic Sea,3.08189113878,1.55462722737,0.610355903016,13.2774185298
Atlantic Ocean,Caribbean Sea,6.35076127462,4.06595378645,4.74909905423,544.85619336
Atlantic Ocean,Gulf of Mexico,15.4191359942,5.10103877939,3.35538700347,261.850494902
Atlantic Ocean,Hudson Bay,6.7433881734,4.38654412579,0.74642564317,13.3372461292
Atlantic Ocean,Hudson Strait,1.31062759671,0.914471712603,0.296968124067,7.38511628765
Atlantic Ocean,North Sea,3.01163598688,1.27296870437,0.578361967097,21.948492071
Indian Ocean,Indian Ocean,43.9592754882,22.8860244937,38.0685571684,5921.78838598
Indian Ocean,Red Sea,0.0237079106585,0.0274028910861,0.71339454689,43.6061783034
Land,Aral Sea,0.973181691565,0.479224297577,0.272424432151,21.1816865872
Land,Caspian Sea,5.52120076052,1.36787871518,0.645730338594,80.2549155761
Land,Land,3.09753142854,2.589843166,8.28990749711,849.232583925
Mediterranean+Black Sea,Black Sea,5.05563793728,1.58545947142,0.959290522213,76.0703189384
Mediterranean+Black Sea,Mediterranean Sea,7.87082586864,1.41833311976,2.48652020405,373.443327895
Pacific Ocean,Bering Strait,2.30931803381,0.773053968177,0.575079908069,50.682945694
Pacific Ocean,Pacific Ocean,81.3631310273,43.9290055492,43.5207610133,4867.75931861
